#{"t_start": 1721873244.311344, "env_id": "Acrobot-v1"}
r,l,t
-149.0,150,71.200626
-141.0,142,71.262106
-106.0,107,71.303076
-111.0,112,71.34905
-117.0,118,71.396099
-123.0,124,71.45341
-124.0,125,71.505476
-117.0,118,71.558062
-162.0,163,71.634386
-132.0,133,71.689896
-95.0,96,71.72959
-206.0,207,71.817775
-193.0,194,71.891958
-263.0,264,71.999681
-126.0,127,72.05422
-177.0,178,72.126493
-105.0,106,72.167995
-152.0,153,72.234616
-213.0,214,72.321259
-107.0,108,72.364241
-130.0,131,72.414884
-201.0,202,72.497119
-117.0,118,72.546247
-89.0,90,72.587881
-156.0,157,72.648914
-113.0,114,72.704036
-138.0,139,72.758914
-156.0,157,72.825734
-134.0,135,72.880904
-146.0,147,72.946438
-174.0,175,73.019426
-169.0,170,73.103381
-148.0,149,73.175722
-190.0,191,73.27179
-209.0,210,73.369179
-176.0,177,73.457391
-131.0,132,73.520913
-158.0,159,73.602654
-224.0,225,73.712683
-122.0,123,73.772648
-163.0,164,73.854366
-122.0,123,73.91568
-124.0,125,73.976208
-64.0,65,74.008057
-142.0,143,74.079883
-98.0,99,74.128
-130.0,131,74.193936
-163.0,164,74.275213
-111.0,112,74.33211
-100.0,101,74.385314
-89.0,90,74.426296
-124.0,125,74.48628
-128.0,129,74.547124
-88.0,89,74.590564
-135.0,136,74.655567
-157.0,158,74.728693
-130.0,131,74.791183
-116.0,117,74.849073
-128.0,129,74.912886
-87.0,88,74.952369
-112.0,113,75.004773
-157.0,158,75.077486
-120.0,121,75.134547
-103.0,104,75.183839
-110.0,111,75.235387
-81.0,82,75.275925
-113.0,114,75.329113
-100.0,101,75.375985
-162.0,163,75.452788
-142.0,143,75.528741
-116.0,117,75.584115
-83.0,84,75.622703
-108.0,109,75.673512
-144.0,145,75.742967
-149.0,150,75.817881
-98.0,99,75.864291
-125.0,126,75.923679
-119.0,120,75.979414
-127.0,128,76.039647
-85.0,86,76.080817
-76.0,77,76.117719
-144.0,145,76.186626
-87.0,88,76.227892
-85.0,86,76.269246
-107.0,108,76.319545
-103.0,104,76.372554
-101.0,102,76.426285
-87.0,88,76.469207
-96.0,97,76.517329
-117.0,118,76.57251
-196.0,197,76.666843
-106.0,107,76.714841
-113.0,114,76.768336
-66.0,67,76.800553
-136.0,137,76.860447
-111.0,112,76.912851
-112.0,113,76.963088
-87.0,88,77.005158
-133.0,134,77.069799
-131.0,132,77.130275
-118.0,119,77.187531
-91.0,92,77.229748
-105.0,106,77.278901
-201.0,202,77.377566
-115.0,116,77.42929
-95.0,96,77.475914
-107.0,108,77.525934
-97.0,98,77.56914
-106.0,107,77.620764
-84.0,85,77.660445
-90.0,91,77.702357
-135.0,136,77.762797
-107.0,108,77.814211
-114.0,115,77.872073
-94.0,95,77.916972
-113.0,114,77.968878
-109.0,110,78.022382
-123.0,124,78.087677
-80.0,81,78.128365
-118.0,119,78.187746
-141.0,142,78.253945
-109.0,110,78.311167
-73.0,74,78.347326
-155.0,156,78.419641
-79.0,80,78.457146
-116.0,117,78.515178
-101.0,102,78.565565
-75.0,76,78.602813
-187.0,188,78.69577
-137.0,138,78.764332
-191.0,192,78.86054
-83.0,84,78.904114
-81.0,82,78.942639
-121.0,122,79.004079
-123.0,124,79.066849
